"","rank","name","net_worth","age","country","source","industry","citizenship","education"
"1134",1104,"Gianfelice Rocca",2.7,75,"Italy","Pipe Manufacturing","Metals & Mining","Italy",NA
"1135",1104,"Paolo Rocca",2.7,70,"Italy","Pipe Manufacturing","Metals & Mining","Italy",NA
"1136",1104,"Wayne Rothbaum",2.7,55,"United States","Biotech investing","Healthcare","United States","Master of Arts, George Washington University; Bachelor of Arts/Science, State University of New York at Binghamton"
"1137",1104,"Jeff Rothschild",2.7,68,"United States","Facebook","Technology","United States","Bachelor of Arts/Science, Vanderbilt University; Master of Science, Vanderbilt University"
"1138",1104,"Raj Sardana",2.7,63,"United States","Technology services","Technology","United States",NA
"1139",1104,"Salil Singhal",2.7,75,"India","Agrochemicals","Manufacturing","India",NA
"1140",1104,"Alexander Skorobogatko",2.7,55,"Russia","Real estate, airport","Logistics","Russia","Master of Science, Plekhanov Russian University of Economics"
"1141",1104,"Evan Spiegel",2.7,32,"United States","Snapchat","Technology","United States","Bachelor of Science, Stanford University"
"1142",1104,"Glen Taylor",2.7,81,"United States","Printing","Service","United States","Bachelor of Arts/Science, Minnesota State University"
"1143",1104,"Thomas Tull",2.7,52,"United States","Movies, investments","Media & Entertainment","United States","Bachelor of Arts/Science, Hamilton College"
"1144",1104,"Bulat Utemuratov",2.7,65,"Kazakhstan","Mining, banking, hotels","Metals & Mining","Kazakhstan",NA
"1145",1104,"Gustav Magnar Witzoe",2.7,29,"Norway","Fish farming","Food & Beverage","Norway",NA
"1146",1104,"Wong Man Li",2.7,58,"Hong Kong","Furniture","Manufacturing","Hong Kong",NA
"1147",1104,"Guangming Wu",2.7,61,"China","Medical equipment","Healthcare","China","EMBA, China Europe International Business School"
"1148",1104,"Zhu Yi",2.7,59,"China","Pharmaceuticals","Healthcare","China",NA
"1149",1164,"Ben Ashkenazy",2.6,53,"United States","Real estate","Real Estate","United States","Drop Out, Adelphi University"
"1150",1164,"Felix Baker",2.6,54,"United States","Biotech investing","Finance & Investments","United States",NA
"1151",1164,"Julian Baker",2.6,56,"United States","Investing","Finance & Investments","United States",NA
"1152",1164,"David Baszucki",2.6,60,"United States","Online games","Media & Entertainment","United States","Bachelor of Arts/Science, Stanford University"
"1153",1164,"Joesley Batista",2.6,51,"Brazil","Beef processing","Food & Beverage","Brazil",NA
"1154",1164,"Wesley Batista",2.6,50,"Brazil","Beef packing","Food & Beverage","Brazil",NA
"1155",1164,"Yvonne Bauer",2.6,46,"Germany","Magazines, media","Media & Entertainment","Germany",NA
"1156",1164,"Miriam Baumann-Blocher",2.6,48,"Switzerland","Chemicals","Manufacturing","Switzerland",NA
"1157",1164,"Cen Junda",2.6,58,"China","Pharmaceuticals","Healthcare","China","Doctorate, Zhejiang University"
"1158",1164,"Richard Chandler",2.6,64,"New Zealand","Investments","Finance & Investments","New Zealand",NA
"1159",1164,"Chen Zhiping",2.6,47,"China","E-cigarettes","Manufacturing","China","Master, China Europe International Business School; Bachelor of Arts/Economics, Tongji University"
"1160",1164,"Fernando Chico Pardo",2.6,71,"Mexico","Airport management","Service","Mexico","Master of Business Administration, Kellogg School of Management; Bachelor of Business Administration, Universidad Iberoamericana"
"1161",1164,"Ray Davis",2.6,81,"United States","Pipelines","Energy","United States","Master of Business Administration, LeTourneau University's School of Business"
"1162",1164,"Maria Del Pino",2.6,67,"Spain","Construction","Construction & Engineering","Spain","Bachelor of Arts/Science, IESE Business School"
"1163",1164,"Deng Weiming & family",2.6,54,"China","Battery components","Manufacturing","China",NA
"1164",1164,"John Dorrance, III.",2.6,79,"Ireland","Campbell Soup","Food & Beverage","Ireland",NA
"1165",1164,"Carl Douglas",2.6,61,"Sweden","Investments","Diversified","Sweden","Bachelor of Arts/Science, Middlebury College"
"1166",1164,"Eric Douglas",2.6,54,"Sweden","Investments","Diversified","Sweden","Bachelor of Arts/Economics, Lund University"
"1167",1164,"Fiona Geminder",2.6,58,"Australia","Manufacturing","Manufacturing","Australia","Bachelor of Arts/Science, Monash University; LLB, Monash University"
"1168",1164,"Stewart Horejsi & family",2.6,85,"United States","Berkshire Hathaway","Finance & Investments","United States",NA
"1169",1164,"Hou Juncheng",2.6,58,"China","Cosmetics","Healthcare","China",NA
"1170",1164,"Zhenda Huang & family",2.6,75,"China","Construction","Construction & Engineering","China",NA
"1171",1164,"Dmitry Kamenshchik",2.6,54,"Russia","Airport","Service","Russia","Master of Arts/Science, Moscow State University"
"1172",1164,"Alicia Koplowitz",2.6,69,"Spain","Construction, investments","Finance & Investments","Spain",NA
"1173",1164,"Adam Kwok",2.6,40,"Hong Kong","Real estate","Real Estate","Hong Kong","Master of Business Administration, Harvard Business School; Bachelor of Science in Engineering, Stanford University"
"1174",1164,"Henry Laufer",2.6,77,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, City College of New York; Doctorate, Princeton University"
"1175",1164,"Louis Le Duff",2.6,76,"France","Bakeries","Food & Beverage","France",NA
"1176",1164,"Mark Leonard & family",2.6,66,"Canada","Software","Technology","Canada","Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business; Bachelor of Arts/Science, University of Guelph"
"1177",1164,"Li Guoqiang",2.6,59,"China","Auto dealerships","Automotive","China",NA
"1178",1164,"Li Yongxin",2.6,47,"China","Education","Service","China","Bachelor of Arts/Science, Peking University"
"1179",1164,"Peter Lim",2.6,69,"Singapore","Investments","Finance & Investments","Singapore",NA
"1180",1164,"Lu Weiding",2.6,52,"China","Diversified","Diversified","China",NA
"1181",1164,"Sergio Mantegazza",2.6,95,"Switzerland","Travel","Service","Switzerland",NA
"1182",1164,"Hans Melchers",2.6,84,"Netherlands","Chemicals, investments","Finance & Investments","Netherlands",NA
"1183",1164,"C. Dean Metropoulos",2.6,76,"United States","Investments","Food & Beverage","United States","Bachelor of Arts/Science, Babson College; Master of Business Administration, Babson College"
"1184",1164,"Hans Georg Naeder",2.6,61,"Germany","Prosthetics","Manufacturing","Germany",NA
"1185",1164,"Falguni Nayar",2.6,60,"India","Retailing","Fashion & Retail","India","Master of Business Administration, Indian Institute of Management, Ahmedabad; B.Com, Mumbai University"
"1186",1164,"James Packer",2.6,55,"Australia","Investments","Finance & Investments","Australia",NA
"1187",1164,"Alexander Ponomarenko",2.6,58,"Russia","Real estate, airport","Logistics","Russia","Master of Science, Russian State Academy of Management; Bachelor of Arts/Science, Simferopol State University"
"1188",1164,"Nicholas Pritzker",2.6,79,"United States","Hotels, investments","Finance & Investments","United States","Bachelor of Arts/Science, Lake Forest College; Doctor of Jurisprudence, University of Chicago"
"1189",1164,"Alejandro Santo Domingo",2.6,46,"United States","Beer","Food & Beverage","United States","Bachelor of Arts/Science, Harvard University"
"1190",1164,"Steven Sarowitz",2.6,57,"United States","Payroll software","Technology","United States","Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
"1191",1164,"Maria-Elisabeth Schaeffler-Thumann",2.6,81,"Germany","Auto parts","Automotive","Germany",NA
"1192",1164,"Leonard Schleifer",2.6,70,"United States","Pharmaceuticals","Healthcare","United States","Bachelor of Arts/Science, Cornell University; Medical Doctor, University of Virginia; Ph.D, University of Virginia"
"1193",1164,"Dieter Schnabel",2.6,77,"Germany","Chemicals","Manufacturing","Germany",NA
"1194",1164,"Michael S. Smith",2.6,67,"United States","Liquefied natural gas","Energy","United States","Drop Out, University of Colorado"
"1195",1164,"Julia Thiele-Schuerhoff",2.6,51,"Germany","Brakes, investments","Manufacturing","Germany",NA
"1196",1164,"John Tyson & family",2.6,69,"United States","Food processing","Food & Beverage","United States","Bachelor of Arts/Science, Southern Methodist University"
"1197",1164,"Jurgen Wirtgen",2.6,57,"Germany","Construction Vehicles","Construction & Engineering","Germany",NA
"1198",1164,"Stefan Wirtgen",2.6,52,"Germany","Construction Vehicles","Construction & Engineering","Germany",NA
"1199",1164,"Zhao Lixin",2.6,57,"China","Electronics","Technology","China","Master of Science in Engineering, Tsinghua University"
"1200",1164,"Hongyi Zhou",2.6,52,"China","Security software","Technology","China","Bachelor of Science, Xi'an Jiaotong University; Master of Science, Xi'an Jiaotong University"
"1201",1217,"S. Daniel Abraham",2.5,98,"United States","Slim-Fast","Food & Beverage","United States","Diploma, High School"
"1202",1217,"Bill Alfond",2.5,74,"United States","Shoes","Fashion & Retail","United States",NA
"1203",1217,"Susan Alfond",2.5,77,"United States","Shoes","Fashion & Retail","United States",NA
"1204",1217,"Ted Alfond",2.5,78,"United States","Shoes","Fashion & Retail","United States",NA
"1205",1217,"Riley Bechtel & family",2.5,71,"United States","Engineering, construction","Construction & Engineering","United States","Doctor of Jurisprudence, Stanford University; Master of Business Administration, Stanford University; Bachelor of Arts/Science, University of Calif Davis"
"1206",1217,"Thor Bjorgolfsson",2.5,56,"Iceland","Investments","Diversified","Iceland","Bachelor of Arts/Science, New York University"
"1207",1217,"Charles Bronfman",2.5,91,"Canada","Liquor","Food & Beverage","Canada","Bachelor of Arts/Science, McGill University"
"1208",1217,"Vivek Chand Burman",2.5,85,"India","Consumer goods","Food & Beverage","India","Bachelor of Arts/Science, University of Miami"
"1209",1217,"Herb Chambers",2.5,81,"United States","Car dealerships","Automotive","United States",NA
"1210",1217,"Cheng Yixiao",2.5,39,"China","Video streaming app","Media & Entertainment","China","Bachelor of Science in Engineering, Northeastern University; Bachelor of Engineering, Northeastern University Engineering"
"1211",1217,"Andrew Cherng",2.5,75,"United States","Fast food","Food & Beverage","United States",NA
"1212",1217,"Peggy Cherng",2.5,75,"United States","Fast food","Food & Beverage","United States","Bachelor of Arts/Science, Oregon State University; Master of Science, University of Missouri; Ph.D, University of Missouri"
"1213",1217,"Leon G. Cooperman",2.5,79,"United States","Hedge funds","Finance & Investments","United States","Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Hunter College"
"1214",1217,"Yadu Hari Dalmia & family",2.5,75,"India","Cement","Manufacturing","India","Bachelor of Commerce, Delhi University; Chartered Accountant, Institute of Chartered Accountants of India"
"1215",1217,"Henry Davis",2.5,72,"United States","Beef processing","Food & Beverage","United States","Bachelor of Arts/Science, University of Denver"
"1216",1217,"Oleg Deripaska",2.5,55,"Russia","Aluminum, utilities","Metals & Mining","Russia","Master of Science, Moscow State University; Master of Economics, Plekhanov Russian University of Economics"
"1217",1217,"Sergey Dmitriev",2.5,57,"Cyprus","Software","Technology","Cyprus","Master of Science, Saint Petersburg State University"
"1218",1217,"Joseph Edelman",2.5,67,"United States","Hedge funds","Finance & Investments","United States","Master of Business Administration, New York University; Bachelor of Arts/Science, University of California, San Diego"
"1219",1217,"Sandeep Engineer",2.5,61,"India","Plastic pipes","Manufacturing","India",NA
"1220",1217,"Alceu Elias Feldmann & family",2.5,73,"Brazil","Fertilizer","Energy","Brazil",NA
"1221",1217,"Serge Godin",2.5,73,"Canada","Information technology","Technology","Canada","Master of Business Administration, Laval University"
"1222",1217,"Alec Gores",2.5,70,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Western Michigan University"
"1223",1217,"Bill Haslam",2.5,64,"United States","Gas stations","Fashion & Retail","United States","Bachelor of Arts/Science, Emory University"
"1224",1217,"J. Tomilson Hill",2.5,74,"United States","Investments","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University"
"1225",1217,"Jay-Z",2.5,53,"United States","Music","Media & Entertainment","United States",NA
"1226",1217,"Baba Kalyani",2.5,74,"India","Engineering","Automotive","India","Master of Science, Massachusetts Institute of Technology"
"1227",1217,"Saban Cemil Kazanci",2.5,62,"Turkey","Energy","Energy","Turkey",NA
"1228",1217,"Brad Kelley",2.5,66,"United States","Tobacco","Real Estate","United States","Diploma, High School; Drop Out, Western Kentucky University"
"1229",1217,"Wolfgang Leitner",2.5,70,"Austria","Engineering","Construction & Engineering","Austria",NA
"1230",1217,"Li Hongxin & family",2.5,70,"China","Paper & related products","Manufacturing","China",NA
"1231",1217,"Lin Chen-hai",2.5,76,"Taiwan","Real estate","Real Estate","Taiwan",NA
"1232",1217,"Lu Yiwen",2.5,36,"China","Jewelry","Fashion & Retail","China",NA
"1233",1217,"Prayudh Mahagitsiri",2.5,77,"Thailand","Coffee, shipping","Food & Beverage","Thailand",NA
"1234",1217,"Willy Michel",2.5,76,"Switzerland","Medical devices","Healthcare","Switzerland",NA
"1235",1217,"Lachhman Das Mittal",2.5,92,"India","Tractors","Automotive","India","Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University"
"1236",1217,"Bobby Murphy",2.5,34,"United States","Snapchat","Technology","United States","Bachelor of Arts/Science, Stanford University"
"1237",1217,"Tomas Olivo Lopez",2.5,49,"Spain","Shopping centers","Real Estate","Spain",NA
"1238",1217,"Eren Ozmen",2.5,64,"United States","Aerospace","Manufacturing","United States","Master of Business Administration, University of Nevada at Reno"
"1239",1217,"John Pritzker",2.5,69,"United States","Hotels, investments","Finance & Investments","United States","Bachelor of Arts/Science, Menlo College"
"1240",1217,"Qiu Minxiu",2.5,77,"China","Semiconductors","Technology","China",NA
"1241",1217,"Ferit Faik Sahenk",2.5,59,"Turkey","Diversified","Diversified","Turkey","Bachelor of Arts/Science, Boston College"
"1242",1217,"Wenrong Shen",2.5,77,"China","Steel production","Metals & Mining","China",NA
"1243",1217,"Yuzhu Shi",2.5,60,"China","Online games, investments","Diversified","China","Master of Science, Shenzhen University; Bachelor of Arts/Science, Zhejiang University"
"1244",1217,"Jeff Sutton",2.5,63,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"1245",1217,"Henry Sy, Jr.",2.5,69,"Philippines","Diversified","Diversified","Philippines","Bachelor of Science, De La Salle University"
"1246",1217,"Andrew Tan",2.5,71,"Philippines","Diversified","Diversified","Philippines","Bachelor of Arts/Science, University of the East"
"1247",1217,"Arvind Tiku",2.5,53,"India","Oil & gas, investments","Energy","India",NA
"1248",1217,"Byron Trott",2.5,64,"United States","Investments","Finance & Investments","United States",NA
"1249",1217,"Donald Trump",2.5,76,"United States","Real estate","Real Estate","United States","Fordham University; Bachelor of Arts/Science, University of Pennsylvania"
"1250",1217,"Peter Unger",2.5,78,"Germany","Auto repair","Automotive","Germany",NA
"1251",1217,"Roger Wang",2.5,74,"United States","Retail","Fashion & Retail","United States","Bachelor of Arts/Science, Chinese Culture University; Master of Business Administration, Southeastern Louisiana University"
"1252",1217,"Oprah Winfrey",2.5,69,"United States","TV shows","Media & Entertainment","United States","Bachelor of Arts/Science, Tennessee State University"
"1253",1217,"Wu Zhigang & family",2.5,88,"China","Bakery chain","Food & Beverage","China",NA
"1254",1217,"Xie Weitong",2.5,66,"Taiwan","Cobalt","Metals & Mining","Taiwan",NA
"1255",1217,"Ye Guofu",2.5,45,"China","Retail","Fashion & Retail","China","Associate in Arts/Science, Zhongnan University of Economics and Law"
